what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1267966913085
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267966914970
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267966915899
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1267966917958
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1267966918993
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1267966922897
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1267966924746
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1267966925433
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1267966932743
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ResourceNavigator",1267966943200
opened,editor,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.editor",1267966943544
activated,editor,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.editor",1267966943577
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1267966946165
closed,editor,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.editor",1267966946190
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1267966948844
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1267966948872
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1267966950445
closed,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1267966950446
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ResourceNavigator",1267966955008
closed,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1267966955008
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267966957001
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267966961928
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267966962328
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267966964183
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267966965129
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267966965866
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267966966297
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267968043896
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267968045104
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267968047479
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267968060544
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267968065405
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267968072641
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267968136367
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267968138047
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.mi.ui",1267968138485
